Name,Population
Diana,889736.00 
Sava,1123013.00 
Itasy,897962.00 
Analamanga,3618128.00 
Vakinankaratra,2074358.00 
Bongolava,674474.00 
Sofia,1500227.00 
Boeny,931171.00 
Betsiboka,394561.00 
Melaky,309805.00 
Alaotra-Mangoro,1255514.00 
Atsinanana,1484403.00 
Analanjirofo,1152345.00 
Amoron'i Mania,833919.00 
Matsiatra Ambony,1447296.00 
Vatovavy-Fitovinany,1435882.00 
Vatovavy,705675.00 
Atsimo-Atsinanana,1026674.00 
Ihorombe,418520.00 
Menabe,700577.00 
Atsimo-Andrefana,1799088.00 
Androy,903376.00 
Anosy,809313.00 
